Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C56        1206                1478.5mil     3137.2mil       1546mil     3137.2mil       1546mil     3137.2mil  B        180.00 10uF           
C55        0603w               1488.5mil     2795.2mil       1456mil     2795.2mil       1456mil     2795.2mil  B          0.00 0.1uF          
C52        1206                2197.5mil     3142.2mil       2265mil     3142.2mil       2265mil     3142.2mil  B        180.00 10uF           
C51        0603w               2202.5mil     2796.2mil       2235mil     2796.2mil       2235mil     2796.2mil  B        180.00 0.1uF          
C50        0603w                 1933mil     1609.5mil       1933mil       1642mil       1933mil       1642mil  T        270.00 0.1uF          
C49        1206                 550.5mil       1724mil        618mil       1724mil        618mil       1724mil  B        180.00 10uF           
C48        0603w                665.5mil       1378mil        698mil       1378mil        698mil       1378mil  B        180.00 0.1uF          
C47        1206                1155.5mil       1486mil       1088mil       1486mil       1088mil       1486mil  B        360.00 100uF          
C75        1206                  1895mil     2327.7mil       1895mil     2395.2mil       1895mil     2395.2mil  B        270.00 100uF          
C46        0603w             1630.019mil   1289.981mil       1653mil       1267mil       1653mil       1267mil  T        135.00 10uF           
C18        1206                  1186mil     4343.5mil       1186mil       4276mil       1186mil       4276mil  B         90.00 10uF           
C17        0603w               1333.5mil   4500.308mil       1366mil   4500.307mil       1366mil   4500.308mil  T        180.00 0.1uF          
C16        0603w                 1478mil     4410.5mil       1478mil       4443mil       1478mil       4443mil  T        270.00 0.1uF          
C15        1206              1287.374mil   4527.212mil   1219.874mil   4527.213mil   1219.874mil   4527.212mil  B        360.00 10uF           
C14        0603w                  870mil     4557.5mil        870mil       4525mil        870mil       4525mil  B         90.00 0.1uF          
C13        1206                   798mil     4343.5mil        798mil       4411mil        798mil       4411mil  B        270.00 10uF           
C35        0603w               1354.5mil       3776mil       1387mil       3776mil       1387mil       3776mil  T        180.00 0.1uF          
C36        0603w               1354.5mil       3838mil       1387mil       3838mil       1387mil       3838mil  T        180.00 1nF            
C37        1206                  1563mil     3753.5mil       1563mil       3686mil       1563mil       3686mil  T         90.00 0.1uF          
C38        1206                  1661mil     3753.5mil       1661mil       3686mil       1661mil       3686mil  T         90.00 0.1uF          
C40        0603w             2514.019mil   4355.019mil       2537mil       4378mil       2537mil       4378mil  T        225.00 300pF          
C43        0603w             1599.981mil   4331.019mil       1577mil       4354mil       1577mil       4354mil  T        315.00 300pF          
R27        0603w               1354.5mil       3962mil       1387mil       3962mil       1387mil       3962mil  T        180.00 1K             
R28        0603w               1354.5mil       3901mil       1322mil       3901mil       1322mil       3901mil  T        360.00 287            
R29        0603w               1490.5mil       3903mil       1523mil       3903mil       1523mil       3903mil  T        180.00 49.9*          
R30        0603w               1633.5mil       3905mil       1601mil       3905mil       1601mil       3905mil  T        360.00 49.9*          
U13        MSOP10sm          2280.066mil   4446.834mil       2186mil       4485mil       2186mil       4485mil  B        315.00 AD8251         
U14        MSOP10sm          1822.934mil   4444.834mil       1917mil       4483mil       1917mil       4483mil  T        225.00 AD8251         
U8         MSOP08            1003.052mil   4255.338mil   1088.052mil   4216.937mil   1088.052mil   4216.938mil  T        180.00 AD8676         
C34        0603w                  903mil     3755.5mil        903mil       3723mil        903mil       3723mil  B         90.00 0.1uF          
C33        0603w                 1137mil     3755.5mil       1137mil       3788mil       1137mil       3788mil  B        270.00 0.1uF          
C32        1206                  1223mil     3771.5mil       1223mil       3704mil       1223mil       3704mil  B         90.00 10uF           
C31        1206                1041.5mil       3635mil        974mil       3635mil        974mil       3635mil  B        360.00 10uF           
C30        1206                 929.5mil       3874mil        862mil       3874mil        862mil       3874mil  B        360.00 10uF           
C29        0805                   536mil       4645mil        581mil       4645mil        581mil       4645mil  T        180.00 33nF           
C28        0603w               1025.5mil       3790mil        993mil       3790mil        993mil       3790mil  B        360.00 0.1uF          
C27        0805                   238mil       4257mil        238mil       4302mil        238mil       4302mil  B        270.00 0.1uF          
C26        7243_V_TYPE_HD         500mil       4415mil        500mil       4270mil        500mil       4270mil  B         90.00 10uF           
C25        0603w             1096.118mil   3987.052mil   1096.118mil   3954.551mil   1096.118mil   3954.552mil  T         90.00 10pF           
C24        0805                  1285mil       4645mil       1330mil       4645mil       1330mil       4645mil  T        180.00 33nF           
C23        0603w                979.5mil       4063mil        947mil       4063mil        947mil       4063mil  B        360.00 0.1uF          
C22        0603w                766.5mil       4081mil        799mil       4081mil        799mil       4081mil  B        180.00 0.1uF          
C21        1206                 757.5mil       3995mil        825mil       3995mil        825mil       3995mil  B        180.00 10uF           
C20        1206                1004.5mil       3973mil        937mil       3973mil        937mil       3973mil  B        360.00 10uF           
C19        0603w               1031.5mil       4595mil       1064mil       4595mil       1064mil       4595mil  B        180.00 0.1uF          
U6         TSOT-6              1575.7mil   1206.806mil       1520mil       1204mil       1520mil       1204mil  T         45.00 ADR127         
U4         MSOP10sm          2284.502mil    515.528mil       2191mil        476mil       2191mil        476mil  B          0.00 AD8251         
U3         MSOP08                1724mil      797.4mil       1639mil        759mil       1639mil        759mil  B        360.00 LTC6406        
U1         UKG_-_QFN52       1960.953mil   1322.858mil       1833mil       1184mil       1833mil       1184mil  T         90.00 LTC2195        
U12        LFCSP72           2052.365mil   4020.678mil       1854mil       4188mil       1854mil       4188mil  T        360.00 AD9783         
R1         0603w                 1900mil      797.5mil       1900mil        765mil       1900mil        765mil  B         90.00 249*           
C6         0805_CLL          1959.527mil   1106.591mil       1930mil       1081mil       1930mil       1081mil  T         90.00 2.2uF          
C1         0603w                 1849mil      967.5mil       1849mil        935mil       1849mil        935mil  T         90.00 300pF          
C2         0603w                 1657mil      966.5mil       1657mil        999mil       1657mil        999mil  T        270.00 300pF          
C3         0603w             1735.019mil   1125.019mil       1758mil       1148mil       1758mil       1148mil  T        225.00 0.1uF          
C4         0603w                 1927mil      981.5mil       1927mil       1014mil       1927mil       1014mil  T        270.00 0.1uF          
C8         0603w                 1990mil      981.5mil       1990mil       1014mil       1990mil       1014mil  T        270.00 0.1uF          
C9         0603w                 2267mil      967.5mil       2267mil        935mil       2267mil        935mil  T         90.00 300pF          
C10        0603w                 2075mil      967.5mil       2075mil       1000mil       2075mil       1000mil  T        270.00 300pF          
